outflow_id,customer_id,transaction_date,amount_usd,descriptor,transaction_type
OFL_CNB0000006_000016,CNB0000006,2024-07-11,431.76,COINBASE,ACH
OFL_CNB0000006_000008,CNB0000006,2024-07-11,112.83,COINBASE,ACH
OFL_CNB0000006_000001,CNB0000006,2024-07-11,2523.56,COINBASE,ACH
OFL_CNB0000006_000007,CNB0000006,2024-07-11,662.93,OTHER_EXCHANGE,ACH
OFL_CNB0000006_000002,CNB0000006,2024-07-11,330.15,GEMINI,ACH
OFL_CNB0000006_000010,CNB0000006,2024-07-11,229.74,COINBASE,WIRE
OFL_CNB0000006_000005,CNB0000006,2024-07-11,52.44,BINANCE.US,ACH
OFL_CNB0000006_000018,CNB0000006,2024-07-11,792.4,GEMINI,ACH
OFL_CNB0000006_000015,CNB0000006,2024-07-11,1842.55,COINBASE,ACH
OFL_CNB0000007_000000,CNB0000007,2024-02-22,812.03,COINBASE,ACH
OFL_CNB0000007_000004,CNB0000007,2024-02-25,89.83,COINBASE,ACH
OFL_CNB0000007_000002,CNB0000007,2024-06-03,459.6,KRAKEN,ACH
OFL_CNB0000007_000008,CNB0000007,2024-06-20,1183.55,KRAKEN,ACH
OFL_CNB0000007_000005,CNB0000007,2024-07-04,807.9,COINBASE,WIRE
OFL_CNB0000007_000007,CNB0000007,2024-07-10,169.52,GEMINI,ACH
OFL_CNB0000007_000001,CNB0000007,2024-07-13,73.83,KRAKEN,ACH
OFL_CNB0000007_000006,CNB0000007,2024-07-19,618.04,KRAKEN,ACH
OFL_CNB0000007_000003,CNB0000007,2024-07-21,243.97,COINBASE,ACH
OFL_CNB0000008_000000,CNB0000008,2024-03-09,315.06,BINANCE.US,ACH
OFL_CNB0000008_000037,CNB0000008,2024-03-12,393.86,COINBASE,ACH
OFL_CNB0000008_000022,CNB0000008,2024-03-13,212.5,GEMINI,WIRE
OFL_CNB0000008_000048,CNB0000008,2024-03-15,245.53,COINBASE,ACH
OFL_CNB0000008_000032,CNB0000008,2024-03-16,553.3,COINBASE,ACH
OFL_CNB0000008_000007,CNB0000008,2024-03-20,722.87,KRAKEN,ACH
OFL_CNB0000008_000053,CNB0000008,2024-03-31,151.47,KRAKEN,WIRE
OFL_CNB0000008_000052,CNB0000008,2024-04-01,20.68,KRAKEN,WIRE
OFL_CNB0000008_000017,CNB0000008,2024-04-11,90.62,KRAKEN,ACH
OFL_CNB0000008_000003,CNB0000008,2024-04-24,160.05,GEMINI,ACH
OFL_CNB0000008_000014,CNB0000008,2024-05-03,2097.53,COINBASE,ACH
OFL_CNB0000008_000011,CNB0000008,2024-05-11,4087.65,KRAKEN,ACH
OFL_CNB0000008_000001,CNB0000008,2024-05-13,289.47,COINBASE,ACH
OFL_CNB0000008_000006,CNB0000008,2024-05-19,47.69,COINBASE,ACH
OFL_CNB0000008_000010,CNB0000008,2024-05-19,749.96,COINBASE,ACH
OFL_CNB0000008_000050,CNB0000008,2024-05-30,4595.62,OTHER_EXCHANGE,ACH
OFL_CNB0000008_000016,CNB0000008,2024-06-05,199.04,CRYPTO.COM,ACH
OFL_CNB0000008_000039,CNB0000008,2024-06-10,141.11,CRYPTO.COM,ACH
OFL_CNB0000008_000005,CNB0000008,2024-06-11,1321.24,CRYPTO.COM,WIRE
OFL_CNB0000008_000023,CNB0000008,2024-06-11,669.59,KRAKEN,WIRE
OFL_CNB0000008_000033,CNB0000008,2024-06-22,198.13,OTHER_EXCHANGE,ACH
OFL_CNB0000008_000024,CNB0000008,2024-07-20,830.93,BINANCE.US,ACH
OFL_CNB0000008_000046,CNB0000008,2024-07-23,104.24,KRAKEN,WIRE
OFL_CNB0000008_000047,CNB0000008,2024-07-30,779.51,OTHER_EXCHANGE,ACH
OFL_CNB0000008_000040,CNB0000008,2024-08-01,22.02,GEMINI,ACH
OFL_CNB0000008_000045,CNB0000008,2024-08-05,38.88,COINBASE,WIRE
OFL_CNB0000008_000020,CNB0000008,2024-08-05,964.03,GEMINI,ACH
OFL_CNB0000008_000034,CNB0000008,2024-08-07,421.7,GEMINI,ACH
OFL_CNB0000008_000041,CNB0000008,2024-08-12,2357.55,KRAKEN,WIRE
OFL_CNB0000008_000018,CNB0000008,2024-08-15,289.02,COINBASE,ACH
OFL_CNB0000008_000042,CNB0000008,2024-08-15,249.76,COINBASE,ACH
OFL_CNB0000008_000038,CNB0000008,2024-08-19,551.73,KRAKEN,ACH
OFL_CNB0000008_000009,CNB0000008,2024-08-22,4301.36,COINBASE,WIRE
OFL_CNB0000008_000012,CNB0000008,2024-08-22,625.97,BINANCE.US,ACH
OFL_CNB0000008_000051,CNB0000008,2024-08-24,710.18,BINANCE.US,WIRE
OFL_CNB0000008_000015,CNB0000008,2024-08-29,151.5,BINANCE.US,ACH
OFL_CNB0000008_000025,CNB0000008,2024-09-14,26.83,GEMINI,ACH
OFL_CNB0000008_000019,CNB0000008,2024-09-16,524.08,CRYPTO.COM,ACH
OFL_CNB0000008_000002,CNB0000008,2024-09-19,1480.67,COINBASE,ACH
OFL_CNB0000008_000031,CNB0000008,2024-09-20,107.5,COINBASE,ACH
OFL_CNB0000008_000044,CNB0000008,2024-09-20,22.61,COINBASE,ACH
OFL_CNB0000008_000021,CNB0000008,2024-09-20,542.79,COINBASE,ACH
OFL_CNB0000008_000029,CNB0000008,2024-09-20,2536.13,GEMINI,ACH
OFL_CNB0000008_000035,CNB0000008,2024-09-20,95.23,COINBASE,ACH
OFL_CNB0000008_000026,CNB0000008,2024-09-20,39.17,COINBASE,ACH
OFL_CNB0000008_000043,CNB0000008,2024-09-20,151.65,COINBASE,ACH
OFL_CNB0000008_000030,CNB0000008,2024-09-20,125.8,KRAKEN,WIRE
OFL_CNB0000008_000027,CNB0000008,2024-09-20,30.98,KRAKEN,ACH
OFL_CNB0000008_000036,CNB0000008,2024-09-20,558.03,OTHER_EXCHANGE,ACH
OFL_CNB0000008_000004,CNB0000008,2024-09-20,74.84,OTHER_EXCHANGE,ACH
OFL_CNB0000008_000013,CNB0000008,2024-09-20,129.49,KRAKEN,ACH
OFL_CNB0000008_000028,CNB0000008,2024-09-20,175.25,COINBASE,ACH
OFL_CNB0000008_000008,CNB0000008,2024-09-20,237.1,KRAKEN,ACH
OFL_CNB0000008_000049,CNB0000008,2024-09-20,205.72,GEMINI,ACH
OFL_CNB0000015_000000,CNB0000015,2024-07-14,434.9,COINBASE,WIRE
OFL_CNB0000015_000010,CNB0000015,2024-07-23,493.24,BINANCE.US,ACH
OFL_CNB0000015_000011,CNB0000015,2024-07-26,206.83,GEMINI,WIRE
OFL_CNB0000015_000013,CNB0000015,2024-08-06,272.03,BINANCE.US,WIRE
OFL_CNB0000015_000014,CNB0000015,2024-08-12,162.26,GEMINI,ACH
OFL_CNB0000015_000018,CNB0000015,2024-08-23,598.02,COINBASE,ACH
OFL_CNB0000015_000007,CNB0000015,2024-09-09,145.88,KRAKEN,ACH
OFL_CNB0000015_000006,CNB0000015,2024-09-22,112.38,BINANCE.US,ACH
OFL_CNB0000015_000016,CNB0000015,2024-09-22,596.44,OTHER_EXCHANGE,ACH
OFL_CNB0000015_000012,CNB0000015,2024-09-22,373.36,KRAKEN,ACH
OFL_CNB0000015_000002,CNB0000015,2024-09-22,421.66,COINBASE,ACH
OFL_CNB0000015_000001,CNB0000015,2024-09-22,474.9,KRAKEN,ACH
OFL_CNB0000015_000015,CNB0000015,2024-09-22,77.57,COINBASE,ACH
OFL_CNB0000015_000008,CNB0000015,2024-09-22,14.81,COINBASE,ACH
OFL_CNB0000015_000009,CNB0000015,2024-09-22,85.39,COINBASE,ACH
OFL_CNB0000015_000003,CNB0000015,2024-09-22,363.65,COINBASE,ACH
OFL_CNB0000015_000004,CNB0000015,2024-09-22,406.21,BINANCE.US,WIRE
OFL_CNB0000015_000017,CNB0000015,2024-09-22,103.76,CRYPTO.COM,ACH
OFL_CNB0000015_000005,CNB0000015,2024-09-22,231.71,BINANCE.US,WIRE
OFL_CNB0000018_000000,CNB0000018,2024-03-26,516.02,GEMINI,ACH
OFL_CNB0000018_000005,CNB0000018,2024-03-30,905.43,COINBASE,WIRE
OFL_CNB0000018_000014,CNB0000018,2024-04-01,117.94,COINBASE,ACH
OFL_CNB0000018_000012,CNB0000018,2024-04-10,91.52,GEMINI,ACH
OFL_CNB0000018_000004,CNB0000018,2024-04-17,382.4,COINBASE,ACH
OFL_CNB0000018_000001,CNB0000018,2024-04-21,107.16,COINBASE,ACH
OFL_CNB0000018_000018,CNB0000018,2024-06-22,87.69,COINBASE,ACH
OFL_CNB0000018_000008,CNB0000018,2024-07-03,269.34,BINANCE.US,WIRE
OFL_CNB0000018_000006,CNB0000018,2024-07-18,138.0,CRYPTO.COM,ACH
OFL_CNB0000018_000016,CNB0000018,2024-07-21,23.42,COINBASE,ACH
OFL_CNB0000018_000007,CNB0000018,2024-08-05,212.89,GEMINI,ACH
OFL_CNB0000018_000003,CNB0000018,2024-09-04,126.93,BINANCE.US,ACH
OFL_CNB0000018_000009,CNB0000018,2024-09-04,177.74,KRAKEN,ACH
OFL_CNB0000018_000002,CNB0000018,2024-09-08,77.84,CRYPTO.COM,ACH
OFL_CNB0000018_000015,CNB0000018,2024-09-14,60.06,COINBASE,ACH
OFL_CNB0000018_000017,CNB0000018,2024-09-17,188.18,COINBASE,ACH
OFL_CNB0000018_000011,CNB0000018,2024-10-01,392.39,KRAKEN,ACH
OFL_CNB0000018_000013,CNB0000018,2024-10-10,486.73,COINBASE,ACH
OFL_CNB0000018_000010,CNB0000018,2024-10-19,1514.04,CRYPTO.COM,ACH
OFL_CNB0000020_000000,CNB0000020,2024-05-12,1037.02,COINBASE,ACH
OFL_CNB0000020_000002,CNB0000020,2024-06-20,153.0,GEMINI,ACH
OFL_CNB0000020_000001,CNB0000020,2025-02-26,74.13,BINANCE.US,ACH
OFL_CNB0000023_000000,CNB0000023,2024-01-24,1264.03,COINBASE,ACH
OFL_CNB0000023_000002,CNB0000023,2024-01-31,25.11,COINBASE,ACH
OFL_CNB0000023_000001,CNB0000023,2024-01-31,3878.42,KRAKEN,ACH
OFL_CNB0000024_000000,CNB0000024,2025-01-21,849.6,COINBASE,ACH
OFL_CNB0000024_000013,CNB0000024,2025-01-29,468.93,COINBASE,ACH
OFL_CNB0000024_000006,CNB0000024,2025-01-31,215.7,COINBASE,ACH
OFL_CNB0000024_000001,CNB0000024,2025-02-02,91.68,KRAKEN,ACH
OFL_CNB0000024_000008,CNB0000024,2025-02-04,779.48,COINBASE,ACH
OFL_CNB0000024_000023,CNB0000024,2025-02-07,141.07,COINBASE,ACH
OFL_CNB0000024_000015,CNB0000024,2025-02-22,719.74,BINANCE.US,ACH
OFL_CNB0000024_000021,CNB0000024,2025-02-24,156.19,OTHER_EXCHANGE,ACH
OFL_CNB0000024_000022,CNB0000024,2025-02-26,715.05,COINBASE,WIRE
OFL_CNB0000024_000014,CNB0000024,2025-02-26,546.53,BINANCE.US,ACH
OFL_CNB0000024_000017,CNB0000024,2025-02-26,403.37,GEMINI,ACH
OFL_CNB0000024_000003,CNB0000024,2025-02-26,102.43,COINBASE,ACH
OFL_CNB0000024_000019,CNB0000024,2025-02-26,50.33,BINANCE.US,ACH
OFL_CNB0000024_000005,CNB0000024,2025-02-26,360.53,COINBASE,ACH
OFL_CNB0000024_000020,CNB0000024,2025-02-26,224.55,COINBASE,ACH
OFL_CNB0000024_000016,CNB0000024,2025-02-26,202.4,COINBASE,ACH
OFL_CNB0000024_000009,CNB0000024,2025-02-26,280.25,BINANCE.US,ACH
OFL_CNB0000024_000004,CNB0000024,2025-02-26,212.0,BINANCE.US,ACH
OFL_CNB0000024_000024,CNB0000024,2025-02-26,329.01,KRAKEN,WIRE
OFL_CNB0000024_000012,CNB0000024,2025-02-26,171.37,COINBASE,ACH
OFL_CNB0000024_000010,CNB0000024,2025-02-26,932.6,COINBASE,ACH
OFL_CNB0000024_000007,CNB0000024,2025-02-26,288.51,COINBASE,ACH
OFL_CNB0000024_000018,CNB0000024,2025-02-26,408.16,KRAKEN,WIRE
OFL_CNB0000024_000011,CNB0000024,2025-02-26,803.11,KRAKEN,WIRE
OFL_CNB0000024_000002,CNB0000024,2025-02-26,131.38,COINBASE,ACH
OFL_CNB0000025_000000,CNB0000025,2025-02-24,1680.58,COINBASE,WIRE
OFL_CNB0000025_000002,CNB0000025,2025-02-26,140.0,COINBASE,ACH
OFL_CNB0000025_000001,CNB0000025,2025-02-26,627.27,KRAKEN,ACH
OFL_CNB0000028_000000,CNB0000028,2024-01-10,138.72,BINANCE.US,ACH
OFL_CNB0000028_000024,CNB0000028,2024-01-17,1434.34,KRAKEN,ACH
OFL_CNB0000028_000003,CNB0000028,2024-01-18,144.65,COINBASE,ACH
OFL_CNB0000028_000011,CNB0000028,2024-01-20,483.25,COINBASE,ACH
OFL_CNB0000028_000031,CNB0000028,2024-01-24,185.84,COINBASE,ACH
OFL_CNB0000028_000036,CNB0000028,2024-01-28,631.97,COINBASE,ACH
OFL_CNB0000028_000020,CNB0000028,2024-01-29,477.64,KRAKEN,WIRE
OFL_CNB0000028_000040,CNB0000028,2024-02-08,133.86,KRAKEN,ACH
OFL_CNB0000028_000028,CNB0000028,2024-02-10,298.26,BINANCE.US,ACH
OFL_CNB0000028_000012,CNB0000028,2024-02-11,1025.88,COINBASE,WIRE
OFL_CNB0000028_000008,CNB0000028,2024-02-18,352.25,BINANCE.US,ACH
OFL_CNB0000028_000002,CNB0000028,2024-02-22,216.96,COINBASE,ACH
OFL_CNB0000028_000009,CNB0000028,2024-02-29,62.86,GEMINI,WIRE
OFL_CNB0000028_000023,CNB0000028,2024-03-03,271.36,COINBASE,ACH
OFL_CNB0000028_000035,CNB0000028,2024-03-06,680.95,BINANCE.US,ACH
OFL_CNB0000028_000014,CNB0000028,2024-03-11,46.32,GEMINI,WIRE
OFL_CNB0000028_000022,CNB0000028,2024-03-12,269.86,KRAKEN,ACH
OFL_CNB0000028_000017,CNB0000028,2024-04-01,1640.62,GEMINI,ACH
OFL_CNB0000028_000029,CNB0000028,2024-04-02,117.6,GEMINI,ACH
OFL_CNB0000028_000039,CNB0000028,2024-04-04,47.09,COINBASE,ACH
OFL_CNB0000028_000021,CNB0000028,2024-04-05,2156.54,COINBASE,ACH
OFL_CNB0000028_000016,CNB0000028,2024-04-13,23.07,COINBASE,ACH
OFL_CNB0000028_000010,CNB0000028,2024-04-16,285.66,KRAKEN,ACH
OFL_CNB0000028_000018,CNB0000028,2024-04-16,63.5,COINBASE,ACH
OFL_CNB0000028_000027,CNB0000028,2024-04-17,567.51,KRAKEN,ACH
OFL_CNB0000028_000032,CNB0000028,2024-04-26,72.34,COINBASE,ACH
OFL_CNB0000028_000015,CNB0000028,2024-05-03,28.33,COINBASE,WIRE
OFL_CNB0000028_000034,CNB0000028,2024-05-03,602.65,COINBASE,ACH
OFL_CNB0000028_000006,CNB0000028,2024-05-12,279.48,COINBASE,ACH
OFL_CNB0000028_000033,CNB0000028,2024-05-15,587.01,COINBASE,ACH
OFL_CNB0000028_000001,CNB0000028,2024-05-15,983.58,COINBASE,ACH
OFL_CNB0000028_000004,CNB0000028,2024-05-23,296.08,COINBASE,ACH
OFL_CNB0000028_000025,CNB0000028,2024-05-25,435.92,KRAKEN,ACH
OFL_CNB0000028_000038,CNB0000028,2024-06-09,397.25,KRAKEN,ACH
OFL_CNB0000028_000026,CNB0000028,2024-06-12,109.4,BINANCE.US,ACH
OFL_CNB0000028_000005,CNB0000028,2024-06-14,933.71,COINBASE,ACH
OFL_CNB0000028_000013,CNB0000028,2024-06-14,80.25,COINBASE,ACH
OFL_CNB0000028_000037,CNB0000028,2024-06-17,484.06,KRAKEN,ACH
OFL_CNB0000028_000019,CNB0000028,2024-06-18,108.6,BINANCE.US,ACH
OFL_CNB0000028_000007,CNB0000028,2024-06-21,83.77,BINANCE.US,ACH
OFL_CNB0000028_000030,CNB0000028,2024-06-27,109.2,KRAKEN,ACH
OFL_CNB0000029_000000,CNB0000029,2024-09-10,281.72,KRAKEN,ACH
OFL_CNB0000029_000003,CNB0000029,2024-09-30,715.08,GEMINI,ACH
OFL_CNB0000029_000004,CNB0000029,2024-11-12,45.34,COINBASE,ACH
OFL_CNB0000029_000001,CNB0000029,2024-11-29,432.14,GEMINI,ACH
OFL_CNB0000029_000010,CNB0000029,2024-11-29,93.98,KRAKEN,ACH
OFL_CNB0000029_000007,CNB0000029,2024-11-29,69.56,KRAKEN,ACH
OFL_CNB0000029_000002,CNB0000029,2024-11-29,504.63,KRAKEN,ACH
OFL_CNB0000029_000012,CNB0000029,2024-11-29,161.7,KRAKEN,ACH
OFL_CNB0000029_000006,CNB0000029,2024-11-29,120.73,KRAKEN,ACH
OFL_CNB0000029_000013,CNB0000029,2024-11-29,177.22,COINBASE,ACH
OFL_CNB0000029_000017,CNB0000029,2024-11-29,461.13,COINBASE,WIRE
OFL_CNB0000029_000009,CNB0000029,2024-11-29,140.27,GEMINI,ACH
OFL_CNB0000029_000005,CNB0000029,2024-11-29,82.01,COINBASE,WIRE
OFL_CNB0000029_000015,CNB0000029,2024-11-29,175.44,COINBASE,ACH
OFL_CNB0000029_000008,CNB0000029,2024-11-29,346.67,KRAKEN,ACH
OFL_CNB0000029_000018,CNB0000029,2024-11-29,21.61,COINBASE,WIRE
OFL_CNB0000029_000016,CNB0000029,2024-11-29,18.22,COINBASE,ACH
OFL_CNB0000029_000011,CNB0000029,2024-11-29,609.67,KRAKEN,ACH
OFL_CNB0000029_000014,CNB0000029,2024-11-29,138.8,BINANCE.US,ACH
OFL_CNB0000034_000000,CNB0000034,2024-03-03,100.42,COINBASE,ACH
OFL_CNB0000034_000002,CNB0000034,2024-04-06,664.02,BINANCE.US,ACH
OFL_CNB0000034_000001,CNB0000034,2024-05-25,143.3,CRYPTO.COM,ACH
OFL_CNB0000035_000000,CNB0000035,2024-05-01,4804.92,KRAKEN,ACH
OFL_CNB0000035_000001,CNB0000035,2024-09-11,240.57,KRAKEN,ACH
OFL_CNB0000035_000002,CNB0000035,2024-09-11,286.1,OTHER_EXCHANGE,ACH
OFL_CNB0000036_000000,CNB0000036,2024-10-31,375.58,KRAKEN,ACH
OFL_CNB0000036_000034,CNB0000036,2024-11-09,64.03,COINBASE,ACH
OFL_CNB0000036_000028,CNB0000036,2024-11-27,389.98,KRAKEN,ACH
OFL_CNB0000036_000006,CNB0000036,2025-01-11,4849.37,GEMINI,ACH
OFL_CNB0000036_000046,CNB0000036,2025-01-21,1138.6,GEMINI,ACH
OFL_CNB0000036_000033,CNB0000036,2025-01-27,115.76,COINBASE,ACH
OFL_CNB0000036_000017,CNB0000036,2025-02-02,355.23,OTHER_EXCHANGE,ACH
OFL_CNB0000036_000011,CNB0000036,2025-02-02,1050.2,COINBASE,ACH
OFL_CNB0000036_000010,CNB0000036,2025-02-02,47.69,COINBASE,ACH
OFL_CNB0000036_000027,CNB0000036,2025-02-02,684.49,GEMINI,ACH
OFL_CNB0000036_000029,CNB0000036,2025-02-02,811.85,OTHER_EXCHANGE,ACH
OFL_CNB0000036_000044,CNB0000036,2025-02-02,154.58,COINBASE,ACH
OFL_CNB0000036_000032,CNB0000036,2025-02-02,23.77,COINBASE,ACH
OFL_CNB0000036_000004,CNB0000036,2025-02-02,64.48,COINBASE,ACH
OFL_CNB0000036_000042,CNB0000036,2025-02-02,26.68,GEMINI,ACH
OFL_CNB0000036_000041,CNB0000036,2025-02-02,163.3,COINBASE,ACH
OFL_CNB0000036_000026,CNB0000036,2025-02-02,275.36,KRAKEN,ACH
OFL_CNB0000036_000002,CNB0000036,2025-02-02,66.05,GEMINI,ACH
OFL_CNB0000036_000001,CNB0000036,2025-02-02,203.93,COINBASE,ACH
OFL_CNB0000036_000009,CNB0000036,2025-02-02,10.93,BINANCE.US,ACH
OFL_CNB0000036_000045,CNB0000036,2025-02-02,14.97,GEMINI,ACH
OFL_CNB0000036_000025,CNB0000036,2025-02-02,791.95,COINBASE,ACH
OFL_CNB0000036_000030,CNB0000036,2025-02-02,11.51,BINANCE.US,ACH
OFL_CNB0000036_000013,CNB0000036,2025-02-02,490.16,COINBASE,ACH
OFL_CNB0000036_000037,CNB0000036,2025-02-02,1341.22,COINBASE,ACH
OFL_CNB0000036_000014,CNB0000036,2025-02-02,327.64,KRAKEN,WIRE
OFL_CNB0000036_000022,CNB0000036,2025-02-02,602.44,OTHER_EXCHANGE,ACH
OFL_CNB0000036_000039,CNB0000036,2025-02-02,724.73,BINANCE.US,ACH
OFL_CNB0000036_000018,CNB0000036,2025-02-02,761.59,BINANCE.US,ACH
OFL_CNB0000036_000036,CNB0000036,2025-02-02,26.16,KRAKEN,ACH
OFL_CNB0000036_000008,CNB0000036,2025-02-02,124.49,BINANCE.US,ACH
OFL_CNB0000036_000012,CNB0000036,2025-02-02,267.78,BINANCE.US,ACH
OFL_CNB0000036_000038,CNB0000036,2025-02-02,237.56,COINBASE,ACH
OFL_CNB0000036_000047,CNB0000036,2025-02-02,24.93,GEMINI,ACH
OFL_CNB0000036_000024,CNB0000036,2025-02-02,45.07,KRAKEN,ACH
OFL_CNB0000036_000023,CNB0000036,2025-02-02,311.3,CRYPTO.COM,WIRE
OFL_CNB0000036_000043,CNB0000036,2025-02-02,84.83,OTHER_EXCHANGE,ACH
OFL_CNB0000036_000007,CNB0000036,2025-02-02,222.24,COINBASE,WIRE
OFL_CNB0000036_000015,CNB0000036,2025-02-02,552.11,KRAKEN,ACH
OFL_CNB0000036_000040,CNB0000036,2025-02-02,81.11,BINANCE.US,ACH
OFL_CNB0000036_000021,CNB0000036,2025-02-02,428.6,OTHER_EXCHANGE,ACH
OFL_CNB0000036_000020,CNB0000036,2025-02-02,10.0,COINBASE,ACH
OFL_CNB0000036_000003,CNB0000036,2025-02-02,130.48,GEMINI,ACH
OFL_CNB0000036_000031,CNB0000036,2025-02-02,78.2,COINBASE,ACH
OFL_CNB0000036_000019,CNB0000036,2025-02-02,282.75,CRYPTO.COM,ACH
OFL_CNB0000036_000016,CNB0000036,2025-02-02,864.55,COINBASE,ACH
OFL_CNB0000036_000035,CNB0000036,2025-02-02,305.36,OTHER_EXCHANGE,ACH
OFL_CNB0000036_000005,CNB0000036,2025-02-02,202.18,COINBASE,ACH
