customer_id,account_open_date,age_band,income_band,state,segment,advisor_assigned,churn_risk_score
CNB0000035,2017-06-27,35-44,100-150K,NC,Affluent,False,0.0889
CNB0000036,2023-12-23,25-34,150-200K,TN,Affluent,True,0.1134
CNB0000037,2014-03-15,18-24,50-100K,NC,Retail,False,0.0113
CNB0000038,2022-03-03,45-54,150-200K,SC,Wealth Management,True,0.0113
CNB0000039,2024-03-22,18-24,200K+,VA,Wealth Management,True,0.0744
CNB0000040,2023-06-26,18-24,150-200K,SC,Affluent,False,0.0674
CNB0000041,2024-08-19,25-34,50-100K,NC,Retail,False,0.0634
CNB0000042,2000-06-26,25-34,100-150K,GA,Retail,False,0.0173
CNB0000043,2016-10-30,45-54,50-100K,VA,Retail,False,0.0159
CNB0000044,2024-08-19,18-24,Under 50K,NC,Retail,False,0.0902
CNB0000045,2024-04-21,45-54,200K+,GA,Affluent,False,0.0663
CNB0000046,2022-02-01,25-34,100-150K,FL,Affluent,True,0.0799
CNB0000047,2008-01-16,45-54,50-100K,GA,Retail,False,0.0147
CNB0000048,2004-12-02,55-64,Under 50K,FL,Retail,False,0.015
CNB0000049,2000-06-26,65+,50-100K,GA,Retail,False,0.0139
CNB0000050,2000-06-26,55-64,50-100K,SC,Retail,False,0.0123
CNB0000051,2024-02-21,45-54,150-200K,NC,Affluent,True,0.0151
CNB0000052,2019-08-16,25-34,Under 50K,GA,Retail,False,0.0138
CNB0000053,2015-09-06,65+,Under 50K,VA,Retail,False,0.0146
CNB0000054,2019-01-18,55-64,50-100K,VA,Retail,False,0.0866
CNB0000055,2012-08-22,55-64,50-100K,GA,Retail,False,0.0126
CNB0000056,2002-05-17,45-54,100-150K,FL,Retail,False,0.012
CNB0000057,2023-05-27,45-54,50-100K,GA,Retail,False,0.0152
CNB0000058,2015-09-06,55-64,50-100K,NC,Retail,False,0.0153
CNB0000059,2021-06-06,25-34,50-100K,AL,Retail,False,0.0122
CNB0000060,2007-03-22,65+,Under 50K,GA,Retail,False,0.0172
CNB0000061,2021-04-07,45-54,100-150K,VA,Affluent,False,0.0139
CNB0000062,2022-08-30,45-54,50-100K,SC,Retail,False,0.0129
CNB0000063,2024-02-21,55-64,150-200K,KY,Wealth Management,True,0.0107
CNB0000064,2023-11-23,55-64,50-100K,VA,Retail,False,0.0124
CNB0000065,2015-11-05,65+,50-100K,NC,Retail,False,0.0124
CNB0000066,2020-07-11,18-24,Under 50K,GA,Retail,False,0.1469
CNB0000067,2014-09-11,18-24,200K+,VA,Affluent,True,0.0847
CNB0000068,2005-07-30,45-54,Under 50K,SC,Retail,False,0.0909
CNB0000069,2018-02-22,45-54,50-100K,NC,Retail,False,0.0113
CNB0000070,2022-08-30,35-44,Under 50K,NC,Retail,False,0.0134
CNB0000071,2024-08-19,55-64,200K+,FL,Affluent,False,0.0956
CNB0000072,2023-10-24,35-44,100-150K,VA,Retail,False,0.0128
CNB0000073,2006-10-23,25-34,100-150K,NC,Retail,False,0.0785
CNB0000074,2000-06-26,55-64,Under 50K,SC,Retail,False,0.0168
CNB0000075,2020-11-08,65+,200K+,TN,Wealth Management,True,0.0231
CNB0000076,2018-08-21,25-34,50-100K,NC,Retail,False,0.0129
CNB0000077,2018-05-23,25-34,150-200K,KY,Affluent,False,0.1162
CNB0000078,2016-11-29,45-54,100-150K,GA,Retail,False,0.0867
CNB0000079,2006-12-22,55-64,100-150K,TN,Retail,False,0.0187
CNB0000080,2024-02-21,25-34,50-100K,TN,Retail,False,0.0137
CNB0000081,2021-10-04,25-34,50-100K,GA,Retail,False,0.0991
CNB0000082,2004-11-02,35-44,200K+,VA,Affluent,True,0.0145
CNB0000083,2022-05-02,25-34,50-100K,SC,Retail,False,0.0114
CNB0000084,2014-09-11,35-44,100-150K,SC,Affluent,False,0.0145
CNB0000085,2015-11-05,25-34,100-150K,AL,Retail,False,0.0849
CNB0000086,2024-02-21,45-54,100-150K,GA,Retail,False,0.0207
CNB0000087,2022-11-28,25-34,150-200K,GA,Affluent,False,0.0791
CNB0000088,2024-02-21,65+,50-100K,NC,Retail,False,0.0163
CNB0000089,2016-08-01,25-34,50-100K,TN,Retail,False,0.0855
CNB0000090,2021-02-06,55-64,200K+,NC,Affluent,False,0.0125
CNB0000091,2020-04-12,65+,Under 50K,NC,Retail,False,0.0132
CNB0000092,2024-07-20,25-34,150-200K,NC,Affluent,False,0.0934
CNB0000093,2001-06-21,55-64,100-150K,NC,Retail,False,0.0164
CNB0000094,2014-10-11,25-34,50-100K,VA,Retail,False,0.0203
CNB0000095,2024-02-21,18-24,Under 50K,NC,Retail,False,0.0145
CNB0000096,2021-07-06,45-54,150-200K,GA,Wealth Management,True,0.0143
CNB0000097,2014-04-14,25-34,50-100K,AL,Retail,False,0.0116
CNB0000098,2017-01-28,45-54,100-150K,NC,Retail,False,0.0122
CNB0000099,2019-06-17,35-44,100-150K,TN,Retail,False,0.0969
CNB0000100,2021-06-06,35-44,200K+,SC,Affluent,False,0.0131
CNB0000101,2018-03-24,45-54,150-200K,NC,Wealth Management,True,0.0136
CNB0000102,2015-10-06,35-44,100-150K,NC,Affluent,False,0.0755
CNB0000103,2021-02-06,25-34,100-150K,VA,Retail,False,0.0969
CNB0000104,2013-09-16,55-64,200K+,VA,Affluent,False,0.0127
CNB0000105,2024-08-19,35-44,50-100K,VA,Retail,False,0.0892
CNB0000106,2020-08-10,25-34,100-150K,KY,Retail,False,0.0717
CNB0000107,2023-01-27,35-44,50-100K,NC,Retail,False,0.0116
CNB0000108,2024-06-20,35-44,200K+,GA,Wealth Management,True,0.0731
CNB0000109,2022-09-29,55-64,50-100K,FL,Retail,False,0.0118
CNB0000110,2016-04-03,45-54,50-100K,VA,Retail,False,0.015
CNB0000111,2024-02-21,45-54,50-100K,SC,Retail,False,0.0131
CNB0000112,2022-12-28,25-34,50-100K,NC,Retail,False,0.0202
CNB0000113,2018-04-23,65+,50-100K,NC,Retail,False,0.0148
CNB0000114,2024-02-21,35-44,50-100K,GA,Retail,False,0.0149
CNB0000115,2024-02-21,45-54,100-150K,NC,Retail,False,0.011
CNB0000116,2016-08-31,45-54,100-150K,KY,Affluent,True,0.0165
CNB0000117,2017-12-24,65+,100-150K,GA,Retail,False,0.0117
CNB0000118,2004-08-04,55-64,100-150K,NC,Retail,False,0.0134
CNB0000119,2013-09-16,45-54,50-100K,SC,Retail,False,0.1153
CNB0000120,2022-04-02,35-44,50-100K,KY,Retail,False,0.0808
CNB0000121,2018-08-21,25-34,50-100K,TN,Retail,False,0.088
CNB0000122,2018-04-23,55-64,50-100K,FL,Retail,False,0.015
CNB0000123,2014-01-14,45-54,Under 50K,SC,Retail,False,0.0133
CNB0000124,2024-02-21,18-24,150-200K,GA,Wealth Management,True,0.096
CNB0000125,2023-09-24,35-44,100-150K,KY,Retail,False,0.0911
CNB0000126,2018-07-22,55-64,100-150K,GA,Affluent,False,0.0796
CNB0000127,2024-08-19,45-54,Under 50K,SC,Retail,False,0.0649
CNB0000128,2020-08-10,45-54,50-100K,SC,Retail,False,0.0102
CNB0000129,2019-12-14,45-54,200K+,TN,Affluent,False,0.0107
CNB0000130,2000-12-23,45-54,150-200K,SC,Wealth Management,True,0.0113
CNB0000131,2018-08-21,25-34,Under 50K,TN,Retail,False,0.1046
CNB0000132,2010-11-01,25-34,150-200K,NC,Affluent,False,0.1089
CNB0000133,2018-10-20,35-44,150-200K,NC,Affluent,True,0.0822
CNB0000134,2022-04-02,35-44,200K+,KY,Affluent,False,0.0796
CNB0000135,2014-01-14,45-54,50-100K,SC,Retail,False,0.0123
CNB0000136,2020-10-09,25-34,100-150K,SC,Affluent,False,0.0651
CNB0000137,2017-10-25,25-34,150-200K,NC,Wealth Management,True,0.1164
CNB0000138,2000-06-26,25-34,150-200K,NC,Affluent,True,0.1024
CNB0000139,2023-09-24,25-34,100-150K,GA,Affluent,False,0.0185
CNB0000140,2016-05-03,25-34,200K+,AL,Affluent,False,0.0679
CNB0000141,2016-03-04,18-24,150-200K,GA,Wealth Management,True,0.107
CNB0000142,2000-06-26,35-44,100-150K,VA,Retail,False,0.0174
CNB0000143,2023-04-27,35-44,100-150K,VA,Affluent,False,0.0114
CNB0000144,2017-10-25,55-64,50-100K,FL,Retail,False,0.0905
CNB0000145,2015-06-08,35-44,150-200K,TN,Wealth Management,True,0.0742
CNB0000146,2012-01-25,65+,150-200K,VA,Wealth Management,True,0.0148
CNB0000147,2016-09-30,65+,50-100K,TN,Retail,False,0.0223
CNB0000148,2010-08-03,65+,100-150K,NC,Retail,False,0.0129
CNB0000149,2000-06-26,35-44,100-150K,AL,Affluent,True,0.0679
CNB0000150,2022-07-01,25-34,50-100K,SC,Retail,False,0.1219
CNB0000151,2024-02-21,65+,50-100K,SC,Retail,False,0.0115
CNB0000152,2022-10-29,55-64,100-150K,NC,Retail,False,0.0107
CNB0000153,2021-01-07,25-34,50-100K,AL,Retail,False,0.0156
CNB0000154,2016-04-03,65+,50-100K,NC,Retail,False,0.0148
CNB0000155,2022-05-02,45-54,50-100K,GA,Retail,False,0.0134
CNB0000156,2000-06-26,45-54,50-100K,SC,Retail,False,0.0182
CNB0000157,2020-02-12,25-34,50-100K,GA,Retail,False,0.0141
CNB0000158,2018-09-20,45-54,150-200K,VA,Affluent,False,0.0831
CNB0000159,2022-01-02,45-54,50-100K,VA,Retail,False,0.0145
CNB0000160,2017-09-25,18-24,100-150K,VA,Retail,False,0.0742
CNB0000161,2000-06-26,35-44,Under 50K,FL,Retail,False,0.0163
CNB0000162,2013-08-17,25-34,100-150K,SC,Affluent,True,0.13
CNB0000163,2023-01-27,25-34,200K+,TN,Affluent,False,0.0933
CNB0000164,2000-06-26,45-54,100-150K,NC,Retail,False,0.0163
CNB0000165,2024-02-21,55-64,150-200K,TN,Affluent,False,0.0122
CNB0000166,2010-10-02,45-54,50-100K,SC,Retail,False,0.0138
CNB0000167,2016-08-31,65+,Under 50K,FL,Retail,False,0.0111
CNB0000168,2024-08-19,35-44,150-200K,SC,Wealth Management,True,0.0729
CNB0000169,2014-02-13,18-24,50-100K,FL,Retail,False,0.0775
CNB0000170,2013-11-15,35-44,50-100K,GA,Retail,False,0.0138
CNB0000171,2024-01-22,25-34,100-150K,FL,Retail,False,0.1229
CNB0000172,2010-09-02,25-34,150-200K,TN,Wealth Management,True,0.0131
CNB0000173,2022-02-01,25-34,150-200K,FL,Affluent,False,0.0886
CNB0000174,2023-10-24,45-54,50-100K,SC,Retail,False,0.014
CNB0000175,2024-02-21,35-44,50-100K,GA,Retail,False,0.015
CNB0000176,2008-10-12,45-54,200K+,VA,Wealth Management,True,0.0146
CNB0000177,2015-05-09,45-54,100-150K,FL,Retail,False,0.0128
CNB0000178,2022-08-30,25-34,100-150K,NC,Retail,False,0.1182
CNB0000179,2011-07-29,25-34,150-200K,VA,Affluent,True,0.0806
CNB0000180,2009-09-07,18-24,100-150K,NC,Retail,False,0.071
CNB0000181,2015-05-09,55-64,200K+,VA,Wealth Management,True,0.0123
CNB0000182,2016-10-30,55-64,200K+,TN,Affluent,False,0.0232
CNB0000183,2021-03-08,45-54,Under 50K,GA,Retail,False,0.013
CNB0000184,2018-12-19,18-24,150-200K,NC,Affluent,True,0.0658
CNB0000185,2024-02-21,45-54,50-100K,GA,Retail,False,0.013
CNB0000186,2000-06-26,35-44,150-200K,AL,Wealth Management,True,0.0993
CNB0000187,2024-08-19,25-34,50-100K,SC,Retail,False,0.1286
CNB0000188,2016-11-29,18-24,200K+,SC,Wealth Management,True,0.0723
CNB0000189,2024-08-19,35-44,200K+,GA,Wealth Management,True,0.0967
CNB0000190,2014-03-15,55-64,100-150K,FL,Retail,False,0.0205
CNB0000191,2024-08-19,25-34,150-200K,NC,Affluent,True,0.0994
CNB0000192,2022-01-02,65+,150-200K,NC,Wealth Management,True,0.0119
CNB0000193,2012-07-23,55-64,100-150K,FL,Affluent,True,0.0132
CNB0000194,2014-03-15,55-64,150-200K,TN,Wealth Management,True,0.0116
CNB0000195,2020-09-09,45-54,Under 50K,NC,Retail,False,0.0141
CNB0000196,2024-07-20,18-24,150-200K,FL,Affluent,False,0.1061
CNB0000197,2017-04-28,55-64,100-150K,NC,Retail,False,0.0113
CNB0000198,2024-02-21,65+,150-200K,FL,Wealth Management,True,0.0127
CNB0000199,2023-03-28,35-44,50-100K,FL,Retail,False,0.0114
CNB0000200,2024-01-22,25-34,200K+,VA,Affluent,False,0.0717
CNB0000201,2009-07-09,45-54,50-100K,TN,Retail,False,0.0171
CNB0000202,2020-06-11,25-34,100-150K,NC,Retail,False,0.011
CNB0000203,2020-10-09,45-54,Under 50K,NC,Retail,False,0.0136
CNB0000204,2006-05-26,35-44,100-150K,NC,Retail,False,0.0132
CNB0000205,2019-04-18,55-64,150-200K,SC,Affluent,True,0.0726
CNB0000206,2022-05-02,25-34,200K+,NC,Affluent,True,0.0957
CNB0000207,2018-10-20,35-44,50-100K,VA,Retail,False,0.0148
CNB0000208,2020-04-12,65+,50-100K,NC,Retail,False,0.0121
CNB0000209,2023-04-27,35-44,50-100K,SC,Retail,False,0.016
CNB0000210,2017-07-27,25-34,100-150K,NC,Affluent,False,0.0144
CNB0000211,2021-01-07,55-64,50-100K,KY,Retail,False,0.0137
CNB0000212,2021-07-06,65+,Under 50K,NC,Retail,False,0.0142
CNB0000213,2020-08-10,65+,50-100K,SC,Retail,False,0.0173
CNB0000214,2021-09-04,55-64,50-100K,TN,Retail,False,0.0743
CNB0000215,2017-02-27,45-54,150-200K,FL,Affluent,True,0.0125
CNB0000216,2000-06-26,35-44,150-200K,TN,Affluent,False,0.0133
CNB0000217,2021-12-03,35-44,200K+,GA,Affluent,False,0.0203
CNB0000218,2001-06-21,65+,200K+,GA,Affluent,True,0.02
CNB0000219,2018-01-23,35-44,50-100K,GA,Retail,False,0.0177
CNB0000220,2000-06-26,55-64,50-100K,VA,Retail,False,0.0138
CNB0000221,2024-02-21,45-54,100-150K,TN,Retail,False,0.0128
CNB0000222,2024-02-21,55-64,Under 50K,GA,Retail,False,0.0134
CNB0000223,2023-10-24,25-34,200K+,FL,Wealth Management,True,0.0806
CNB0000224,2015-12-05,55-64,200K+,GA,Affluent,True,0.0117
CNB0000225,2019-01-18,45-54,50-100K,SC,Retail,False,0.0277
CNB0000226,2024-02-21,45-54,Under 50K,GA,Retail,False,0.0114
CNB0000227,2023-12-23,65+,100-150K,TN,Affluent,False,0.0148
CNB0000228,2022-05-02,18-24,150-200K,AL,Wealth Management,True,0.0991
CNB0000229,2012-10-21,25-34,Under 50K,NC,Retail,False,0.0154
CNB0000230,2005-01-31,45-54,100-150K,TN,Affluent,False,0.013
CNB0000231,2021-01-07,55-64,Under 50K,VA,Retail,False,0.0143
CNB0000232,2020-05-12,25-34,200K+,NC,Wealth Management,True,0.0908
CNB0000233,2023-05-27,55-64,150-200K,NC,Affluent,True,0.0996
CNB0000234,2022-02-01,25-34,100-150K,NC,Retail,False,0.0681
CNB0000235,2013-03-20,35-44,100-150K,SC,Retail,False,0.1166
CNB0000236,2019-07-17,18-24,200K+,VA,Affluent,False,0.1096
CNB0000237,2008-03-16,45-54,Under 50K,KY,Retail,False,0.0122
CNB0000238,2014-06-13,45-54,100-150K,GA,Affluent,False,0.0678
CNB0000239,2018-05-23,25-34,150-200K,TN,Affluent,True,0.0665
CNB0000240,2016-07-02,65+,150-200K,TN,Affluent,True,0.0163
CNB0000241,2020-01-13,55-64,50-100K,NC,Retail,False,0.0216
CNB0000242,2022-05-02,65+,Under 50K,SC,Retail,False,0.0154
CNB0000243,2020-05-12,25-34,200K+,NC,Wealth Management,True,0.067
CNB0000244,2024-02-21,55-64,50-100K,AL,Retail,False,0.0675
CNB0000245,2019-06-17,25-34,100-150K,NC,Retail,False,0.0803
CNB0000246,2015-09-06,25-34,50-100K,VA,Retail,False,0.1016
CNB0000247,2018-10-20,65+,100-150K,NC,Retail,False,0.0162
CNB0000248,2006-04-26,45-54,150-200K,GA,Affluent,True,0.0759
CNB0000249,2022-11-28,55-64,50-100K,GA,Retail,False,0.02
CNB0000250,2002-11-13,25-34,100-150K,GA,Affluent,False,0.0996
CNB0000251,2023-03-28,18-24,50-100K,KY,Retail,False,0.0151
CNB0000252,2003-10-09,35-44,50-100K,NC,Retail,False,0.0111
CNB0000253,2023-08-25,65+,Under 50K,GA,Retail,False,0.0123
CNB0000254,2021-07-06,25-34,200K+,SC,Affluent,False,0.0639
CNB0000255,2023-04-27,55-64,50-100K,VA,Retail,False,0.0147
CNB0000256,2016-04-03,55-64,150-200K,VA,Wealth Management,True,0.068
CNB0000257,2012-06-23,65+,50-100K,NC,Retail,False,0.0142
CNB0000258,2024-08-19,35-44,150-200K,SC,Affluent,False,0.0932
CNB0000259,2013-05-19,55-64,150-200K,VA,Wealth Management,True,0.0126
CNB0000260,2016-01-04,25-34,150-200K,NC,Wealth Management,True,0.0208
CNB0000261,2021-02-06,35-44,150-200K,VA,Affluent,True,0.0912
CNB0000262,2018-12-19,55-64,50-100K,KY,Retail,False,0.0189
CNB0000263,2017-09-25,45-54,Under 50K,NC,Retail,False,0.0106
CNB0000264,2023-08-25,35-44,100-150K,SC,Retail,False,0.073
CNB0000265,2024-07-20,35-44,100-150K,KY,Retail,False,0.1021
CNB0000266,2006-02-25,25-34,150-200K,AL,Wealth Management,True,0.0132
CNB0000267,2024-02-21,35-44,Under 50K,KY,Retail,False,0.0132
CNB0000268,2021-11-03,25-34,200K+,SC,Wealth Management,True,0.084
CNB0000269,2017-04-28,25-34,100-150K,TN,Retail,False,0.0178
CNB0000270,2024-02-21,45-54,50-100K,AL,Retail,False,0.012
CNB0000271,2007-05-21,25-34,150-200K,TN,Wealth Management,True,0.1447
CNB0000272,2005-10-28,45-54,150-200K,GA,Wealth Management,True,0.0201
CNB0000273,2008-12-11,35-44,Under 50K,SC,Retail,False,0.0125
CNB0000274,2009-02-09,25-34,100-150K,GA,Retail,False,0.0195
CNB0000275,2024-08-19,35-44,200K+,VA,Wealth Management,True,0.0826
CNB0000276,2023-04-27,18-24,50-100K,AL,Retail,False,0.0183
CNB0000277,2021-11-03,45-54,150-200K,KY,Affluent,False,0.0125
CNB0000278,2017-01-28,25-34,150-200K,AL,Wealth Management,True,0.0916
CNB0000279,2008-12-11,25-34,Under 50K,GA,Retail,False,0.0129
CNB0000280,2023-03-28,55-64,100-150K,SC,Affluent,False,0.1016
CNB0000281,2022-01-02,18-24,50-100K,GA,Retail,False,0.012
CNB0000282,2018-12-19,35-44,100-150K,SC,Retail,False,0.0186
CNB0000283,2020-02-12,25-34,50-100K,NC,Retail,False,0.1049
CNB0000284,2020-06-11,65+,50-100K,GA,Retail,False,0.0127
CNB0000285,2001-08-20,55-64,200K+,NC,Wealth Management,True,0.0107
CNB0000286,2022-12-28,25-34,50-100K,SC,Retail,False,0.0739
CNB0000287,2016-06-02,35-44,Under 50K,NC,Retail,False,0.0696
CNB0000288,2008-11-11,55-64,100-150K,NC,Retail,False,0.0212
CNB0000289,2003-08-10,45-54,50-100K,VA,Retail,False,0.0152
CNB0000290,2022-04-02,65+,150-200K,NC,Affluent,False,0.0132
CNB0000291,2012-06-23,55-64,50-100K,KY,Retail,False,0.0143
CNB0000292,2018-01-23,35-44,200K+,VA,Affluent,False,0.0741
CNB0000293,2012-03-25,45-54,50-100K,GA,Retail,False,0.0134
CNB0000294,2010-09-02,25-34,50-100K,KY,Retail,False,0.0121
CNB0000295,2024-02-21,18-24,150-200K,AL,Affluent,False,0.0708
CNB0000296,2021-01-07,35-44,150-200K,GA,Affluent,True,0.0132
CNB0000297,2013-06-18,55-64,Under 50K,GA,Retail,False,0.016
CNB0000298,2019-04-18,35-44,100-150K,NC,Retail,False,0.0119
CNB0000299,2009-03-11,65+,100-150K,KY,Retail,False,0.0158
CNB0000300,2011-10-27,45-54,50-100K,FL,Retail,False,0.0117
CNB0000301,2014-09-11,55-64,100-150K,SC,Retail,False,0.0171
CNB0000302,2020-11-08,35-44,150-200K,FL,Wealth Management,True,0.0814
CNB0000303,2021-03-08,45-54,50-100K,VA,Retail,False,0.0112
CNB0000304,2024-02-21,25-34,100-150K,TN,Retail,False,0.0133
CNB0000305,2024-08-19,45-54,100-150K,VA,Retail,False,0.0928
CNB0000306,2024-02-21,35-44,50-100K,SC,Retail,False,0.0139
CNB0000307,2018-03-24,35-44,50-100K,GA,Retail,False,0.0141
CNB0000308,2018-11-19,25-34,150-200K,SC,Wealth Management,True,0.1022
CNB0000309,2022-12-28,45-54,50-100K,NC,Retail,False,0.0157
CNB0000310,2023-11-23,25-34,100-150K,VA,Retail,False,0.0846
CNB0000311,2017-08-26,45-54,Under 50K,NC,Retail,False,0.0161
CNB0000312,2021-02-06,55-64,Under 50K,GA,Retail,False,0.0189
CNB0000313,2020-08-10,25-34,200K+,VA,Wealth Management,True,0.0879
CNB0000314,2012-07-23,55-64,Under 50K,NC,Retail,False,0.0165
CNB0000315,2021-07-06,55-64,200K+,AL,Affluent,False,0.0956
CNB0000316,2011-06-29,35-44,50-100K,KY,Retail,False,0.0162
CNB0000317,2000-06-26,25-34,Under 50K,VA,Retail,False,0.013
CNB0000318,2023-09-24,25-34,150-200K,VA,Affluent,False,0.066
CNB0000319,2023-06-26,35-44,100-150K,GA,Affluent,False,0.0756
CNB0000320,2022-06-01,18-24,100-150K,NC,Retail,False,0.0777
CNB0000321,2016-03-04,25-34,150-200K,AL,Affluent,False,0.0928
CNB0000322,2020-10-09,65+,Under 50K,SC,Retail,False,0.0109
CNB0000323,2021-09-04,25-34,100-150K,NC,Retail,False,0.1556
CNB0000324,2013-12-15,55-64,100-150K,VA,Affluent,False,0.012
CNB0000325,2024-07-20,25-34,200K+,VA,Affluent,True,0.0733
CNB0000326,2018-12-19,65+,50-100K,NC,Retail,False,0.0164
CNB0000327,2007-03-22,55-64,100-150K,TN,Retail,False,0.0116
CNB0000328,2022-04-02,35-44,Under 50K,FL,Retail,False,0.0822
CNB0000329,2004-10-03,25-34,100-150K,TN,Retail,False,0.0204
CNB0000330,2023-03-28,25-34,50-100K,GA,Retail,False,0.1166
CNB0000331,2018-09-20,18-24,150-200K,KY,Wealth Management,True,0.1028
CNB0000332,2009-12-06,35-44,100-150K,NC,Retail,False,0.0118
CNB0000333,2004-09-03,35-44,100-150K,VA,Retail,False,0.0119
CNB0000334,2024-08-19,25-34,150-200K,NC,Wealth Management,True,0.1072
CNB0000335,2023-07-26,25-34,Under 50K,NC,Retail,False,0.0169
CNB0000336,2022-04-02,65+,50-100K,GA,Retail,False,0.0111
CNB0000337,2013-12-15,45-54,50-100K,NC,Retail,False,0.1202
CNB0000338,2024-02-21,45-54,100-150K,GA,Retail,False,0.0152
CNB0000339,2016-04-03,65+,Under 50K,SC,Retail,False,0.0134
CNB0000340,2024-03-22,18-24,50-100K,GA,Retail,False,0.0779
CNB0000341,2019-02-17,18-24,200K+,SC,Wealth Management,True,0.0793
CNB0000342,2011-09-27,25-34,150-200K,VA,Wealth Management,True,0.019
CNB0000343,2021-04-07,45-54,Under 50K,FL,Retail,False,0.0971
CNB0000344,2016-06-02,25-34,100-150K,NC,Retail,False,0.0771
CNB0000345,2022-10-29,45-54,50-100K,VA,Retail,False,0.0108
CNB0000346,2022-12-28,25-34,200K+,NC,Affluent,True,0.0108
CNB0000347,2023-08-25,25-34,100-150K,AL,Retail,False,0.0141
CNB0000348,2013-02-18,45-54,Under 50K,FL,Retail,False,0.0217
CNB0000349,2006-05-26,18-24,100-150K,NC,Affluent,False,0.0812
CNB0000350,2018-07-22,45-54,100-150K,NC,Retail,False,0.0141
CNB0000351,2024-06-20,55-64,150-200K,FL,Wealth Management,True,0.0745
CNB0000352,2012-10-21,35-44,200K+,VA,Affluent,False,0.093
CNB0000353,2020-08-10,25-34,50-100K,TN,Retail,False,0.0876
CNB0000354,2021-12-03,18-24,100-150K,FL,Retail,False,0.0163
CNB0000355,2024-02-21,45-54,50-100K,VA,Retail,False,0.0127
CNB0000356,2018-05-23,35-44,150-200K,NC,Wealth Management,True,0.0144
CNB0000357,2019-08-16,25-34,50-100K,NC,Retail,False,0.0124
CNB0000358,2012-06-23,45-54,100-150K,NC,Retail,False,0.0161
CNB0000359,2022-09-29,45-54,150-200K,VA,Wealth Management,True,0.0157
CNB0000360,2024-08-19,18-24,50-100K,NC,Retail,False,0.1157
CNB0000361,2021-12-03,45-54,100-150K,NC,Retail,False,0.0167
CNB0000362,2018-06-22,45-54,Under 50K,TN,Retail,False,0.0226
CNB0000363,2013-03-20,35-44,100-150K,KY,Retail,False,0.0108
CNB0000364,2023-02-26,18-24,Under 50K,NC,Retail,False,0.0122
CNB0000365,2022-12-28,55-64,150-200K,FL,Wealth Management,True,0.0116
CNB0000366,2022-08-30,18-24,100-150K,NC,Retail,False,0.1
CNB0000367,2017-10-25,55-64,50-100K,GA,Retail,False,0.0131
CNB0000368,2022-09-29,45-54,100-150K,VA,Retail,False,0.0716
CNB0000369,2015-12-05,45-54,50-100K,GA,Retail,False,0.0159
CNB0000370,2015-07-08,45-54,100-150K,GA,Retail,False,0.0107
CNB0000371,2015-09-06,55-64,150-200K,TN,Affluent,True,0.0116
